Player,Position,Team,Pts.,Sel.,Cost
Palmer,MID,CHE,244,7.30%,10.5
Foden,MID,MCI,230,5.70%,9.5
Watkins,FWD,AVL,228,33.70%,9
Saka,MID,ARS,226,6.30%,10
Haaland,FWD,MCI,217,16.00%,15
Son,MID,TOT,213,6.10%,10
M.Salah,MID,LIV,211,7.60%,12.5
Ødegaard,MID,ARS,186,5.20%,8.5
Gordon,MID,NEW,183,3.80%,7.5
White,DEF,ARS,182,3.50%,6.5
Bowen,MID,WHU,182,3.10%,7.5
Havertz,FWD,ARS,180,14.70%,8
Solanke,FWD,BOU,175,23.30%,7.5
Isak,FWD,NEW,172,65.10%,8.5
B.Fernandes,MID,MUN,166,5.00%,8.5
Rice,MID,ARS,165,1.20%,6.5
Mateta,FWD,CRY,165,22.50%,7.5
Saliba,DEF,ARS,164,44.60%,6
Rodrigo,MID,MCI,159,1.70%,6.5
J.Alvarez,FWD,MCI,158,1.10%,7
Gross,MID,BHA,153,1.90%,6.5
Pickford,GKP,EVE,153,5.00%,5
Bruno G.,MID,NEW,153,1.90%,6.5
Gabriel,DEF,ARS,149,44.20%,6
Bailey,MID,AVL,148,1.80%,6.5
Ward-Prowse,MID,WHU,146,1.60%,6.5
Diaby,MID,AVL,142,1.70%,6.5
N.Jackson,FWD,CHE,142,22.30%,7.5
Luis Díaz,MID,LIV,142,2.70%,7.5
Gibbs-White,MID,NFO,142,1.70%,6.5
Bernardo,MID,MCI,141,1.90%,6.5
Trossard,MID,ARS,138,11.90%,7
Kudus,MID,WHU,137,7.10%,6.5
Eze,MID,CRY,136,39.20%,7
Pedro Porro,DEF,TOT,136,16.50%,5.5
Raya,GKP,ARS,135,22.30%,5.5
Cunha,FWD,WOL,135,2.70%,6.5
Leno,GKP,FUL,133,3.60%,5
Onana,GKP,MUN,133,6.00%,5
Darwin,FWD,LIV,132,10.20%,7.5
Wissa,FWD,BRE,131,1.80%,6
Garnacho,MID,MUN,131,7.20%,6.5
Wood,FWD,NFO,131,2.10%,6
Johnson,MID,TOT,131,1.50%,6.5
Kulusevski,MID,TOT,130,1.30%,6.5
Gallagher,MID,CHE,129,1.00%,6
Mbeumo,MID,BRE,127,26.80%,7
Andreas,MID,FUL,127,2.40%,5.5
Hee Chan,MID,WOL,125,2.10%,6.5
Branthwaite,DEF,EVE,124,7.40%,5
McNeil,MID,EVE,124,0.90%,5.5
Sterling,MID,CHE,123,22.80%,7
Gvardiol,DEF,MCI,123,29.60%,6
Walker,DEF,MCI,123,6.30%,5.5
Schär,DEF,NEW,123,7.30%,5.5
Alexander-Arnold,DEF,LIV,122,13.30%,7
Richarlison,FWD,TOT,122,1.50%,7
Andersen,DEF,CRY,121,10.90%,4.5
McGinn,MID,AVL,119,1.20%,5.5
Flekken,GKP,BRE,119,11.90%,4.5
Mitchell,DEF,CRY,119,2.50%,5
Elanga,MID,NFO,119,2.40%,5.5
Martinelli,MID,ARS,118,12.60%,7
Tarkowski,DEF,EVE,117,1.50%,5
Virgil,DEF,LIV,117,21.30%,6
Maddison,MID,TOT,117,5.10%,7.5
A.Doucoure,MID,EVE,116,0.70%,5.5
Areola,GKP,WHU,116,9.40%,4.5
Souček,MID,WHU,116,1.00%,5
Martinez,GKP,AVL,115,7.20%,5
Ederson M.,GKP,MCI,112,13.20%,5.5
Akanji,DEF,MCI,112,4.60%,5.5
Højlund,FWD,MUN,112,3.20%,7
