,0,1,2,3
0,203,Iwobi,102,0.7167672406197327
1,183,Harrison,92,0.5122369643021936
2,357,Van de Ven,81,0.2872536603529004
3,191,Pickford,153,1.7598716498391824
4,245,Bernardo,141,1.5144353182581354
5,16,Saliba,164,1.9848549537884757
6,321,Gibbs-White,142,1.5348883458898894
7,395,Hee Chan,125,1.1871868761500728
8,349,Richarlison,122,1.125827793254811
9,14,Rice,165,2.0053079814202297
10,15,Saka,226,3.252942666957219
11,294,Gordon,183,2.3734624787918
12,235,M.Salah,211,2.94614725248091
13,147,Palmer,244,3.6210971643287895
14,11,Ødegaard,186,2.4348215616870617
